sentiment,tweet
Negativo,De qué va a servir la AppSaludEc si cuando llamaron al 171 para reportar pacientes con síntomas simplemente no contestaban Gobierno negligente e incompetente.
Negativo,Es cierto ese AppSaludEc no sirve solo mienten a las personas y las cosas se pondrán peor por las mentirás y negligencias
Negativo,Es por eso
Negativo,Simplemente lo está diciendo para que entiendan los que pensaron que era un chiste o sea para los estúpidos ya están grandecitos
Negativo,El problema no son las pruebas
Negativo,El pobre tiene que esperar hasta que no pueda respirar
Negativo,No hemos aprendido nada como sociedad
Negativo,es hasta un insulto y un escupitazo en la cara de la gente pobre y humilde
Negativo,Por que la gente es tan morbosa que tiene que pasar las imágenes de la paciente de sus familiares y hasta de parte de su historia clínica
Negativo,Ahora morirán pobres las iglesias. nadie les regalará plata
Negativo,Me parecen las medidas más acertadas
Negativo,Solo porque el gobierno lo exigió pero si fuera por ellos seguirían creyendo que son inmunes
Negativo,No importa si actuaban hace un mes o dentro de un mes somos un desastre como sociedad
Negativo,Irresponsable Banalizar el grave problema de la pandemia para hacerse el gracioso
Positivo,No es para nada gracioso
Negativo,Como puerca Jajajajaja Nadie les cree nada al gobierno
Positivo,Esos muchachos por primera vez en su vida están recibiendo un buen palazo
Positivo,Buen trabajo y gracias por cuidar la integridad de las demás personas
Violento,Ay no pobrecitos se están infringiendo derechos humanos ya veo llegar esos comentarios de Defensores de Derechos Humanos en breve esto ya es indefendible tuvieron dos semanas socializando con está gente y siguen igual déjense de joder
Violento,Ahi que salten los derechos humano a defender a estos sinverguenzas
Violento,mientras hacen las flexiones de pecho y un palazo bien dado
Violento,Más duro denle esos tienen facha de ladrones y de paso parecen venezolanos denle más duro buen trabajo más duro denles a esa gente irresponsable y desobedientes
Violento,Porque no les dan en la cabeza
Violento,dele más duro para que no anden consumiendo ni vendiendo drogas y peor robar
Violento,un grupo de jóvenes irrespetando la ley que hacen ahí es por algo salen a robar bien merecido el castigo
Violento,No hagan videos reviéntenlos en secreto
Violento,Si les hubieran dado palo para corregirlos desde jovencitos no anduvieran violando la ley ni merodeando buscando qué robar o fumar
Violento,Bien dado los palazos por sordos
Violento,Bien dado los golpes por hijos de putas irresponsables.
Violento,Si fuera un familiar mío le meto tres garrorazos más en el rabo por no hacer caso
Negativo,Que pena mi segunda pátria Hacheros drogadictos tienen que aprovechar estos tiempos paradesapareser esa scoria
Violento,Pártanles el culo
Violento,Siganlos tratando asi a ver si entienden estos invesiles
Violento,En esa parte de las piernas al final del culo un planazo es rico duele
Violento,Bien así con estos tarados ignorantes dende pala y a la cárcel
Negativo,Ladrón es ladrón
Negativo,Pueden salvar vidas quedándose en casa pero eligen ser Ladrones e insensatos
Negativo,vamos a ver si ahora la tv también los harán ver igual de salvajes o muertos de hambre
Negativo,La sociedad en miseria
Negativo,Ojalá les de diarrea toda la cuarentena y más
Violento,Lo peor que no han de morir por el virus sino por la indigestión del camarón
Negativo,Dan vergüenza porfavor busquen su propio camino
Negativo,que los metan preso si ya estamos en toque de queda
Negativo,Lo que no sabían es que estaba contaminado es selección natural de a poco los imbeciles se van extinguiendo
Negativo,Ojalá que les de cagadera por hijos de puta ratas
Negativo,Asco de Sociedad
Negativo,Eso es terrible e indignante un irrespeto total a la vida humana
Violento,No hay palabras para describir a esas plagas. Si tan solo los militares tuvieran la orden de disparar sería lo ideal para que no vuelvan a irrespetar a la autoridad y a las leyes
Negativo,El problema no es que solo se mueran esos pobres y tristes hijos de puta
Negativo,A los necios que no quieren hacer caso deberían dejarlos a su suerte que mueran solos por imbeciles
Violento,Disparen a Matar Dan Igual Vivos o Muertos al Final se contagiaran Covid19 y Morirán Todos
Violento,Este país merece ser depurado por tanto estúpido e irreverente que sale a la calle
Negativo,Antes muy condescendientes fueron debían darle palo Basta de defender a estos irresponsables
Violento,Y para la próxima que los agarren a puñetes ese montón de abusadores posibles infectados
Violento,Mano dura para mal ciudadanos que no tienen CONCIENCIA es evidente que por su manera de expresarse es un vago que le gusta salir hacer de las suyas para atentar contra la Integridad de los ciudadanos honestos
Violento,La ley se respecta
Positivo,El que parece que no entiende nada es usted
Violento,Y que hace ese angelito afuera de su casa a esas horas Que muestre alguna medicina comida sino palo contigo
Violento,los toques de queda de antaño que si los encontraban fuera era patada
Violento,Deberían romperles los tacos en la nalga y filmarlo para que entiendan esos cretinos
Violento,Un par de guachasos y palazos
Violento,Mejor que les den puñete
Violento,Si no quieren entender a las buenas que entiendan a las malas
Negativo,los imbeciles existen en todas partes del mundo
Positivo,Se imaginan a los chicos agradeciendo por el premio con cara de orgullo Que bonito
Positivo,Siempre
Positivo,Qué saborío ya no compartes ni un gintonic con nosotros
Positivo,Buenos dias para todos Feliz inicio de semana
Positivo,Gracias No es así deja claro que es el 100 de aquí
Positivo,siempre estuviste a mi lado
Positivo,así debe de ser
Positivo,Te Ayudo
Positivo,Las abuelas SIEMPRE saben
Positivo,Gracias por seguirme en breve te devuelvo
Positivo,de a ratos suelo extrañarlo pero me acuerdo como es ahora y se me pasa
Negativo,Callate tú
Positivo,Después de mes y medio que nos volvemos a encontrar amiga
Positivo,Gracias fue un concurso para realizar un videoclip sobre las mujeres en la ciencia
Positivo,de seguro a se le ocurre hacer cuando yo no estoy porque le encanta hacer eso
Negativo,Con gente así no se puede progresar por eso están como están ellos y jamás progresarán
Negativo,Como diablos quieren que se haga algo se al momento de actuar les van a seguir juicio que estupido
Positivo,Ella siempre tan superior tan rebelde tan inteligente tan aspectuda
Negativo,Periodista internacional desenmascara a la ministra de Lenin Moreno por su mediocridad e inoperancia para afrontar la Emergencia Sanitaria en Ecuador
Positivo,Basta para ser grande intentar lo grande
Positivo,pidiendo un cronómetro menos mal no pidió otra cosa jajaja
Negativo,Ja ja ja la cara que pone la estúpida
Negativo,Acostumbrados a dirigir las entrevistas tibias
Negativo,Y la cara de cínica le da igual si le creen o no
Negativo,La prensa basura de Ecuador fue cómplice de Moreno en las protestas y ahora otra vez vuelve a ser cómplice en la crisis sanitaria
Negativo,El periodismo en el Ecuador no existe
Positivo,Cuenten conmigo para viralizar a gente corrupta
Positivo,Yo no salgo
Positivo,No estamos muriendo de hambre por favor son apenas 8 días de los primeros 15
Negativo,Si quieren mantener la economía eliminen los salarios que reciben cada ex presidente ellos no están haciendo nada por el país
Negativo,Lo que pasa tal vez no come piensa que los demás no comemos
Negativo,Suplico que suspendan el pago de alquileres a penas tenemos para los alimentos
Negativo,Que comemos los pobres acaso vivimos del aire
Negativo,Bien ahí la ministra así como debió ser desde el principio
Negativo,Claro como ella vive cómoda sin necesidades de ir de compras porque manda a comprar habla por hablar
Negativo,No salir nos libra del virus pero sin salir nos matará el hambre busque otra opción y no hable x hablar
Negativo,Que ridículamente. Y como van a sobrevivir los pobres Que no son pocos
Negativo,Por favor no permitan el ingreso de espías cubanos tras la pantalla que son médicos
Positivo,Felicitaciones y espero el gobierno les dé bonos como corresponde y aumentos de salaries
Positivo,Felicitaciones y bendiciones
Positivo,Todo nuestro agradecimiento a TODOS LOS DE LA SANIDAD
Positivo,Felicitaciones y a los hombres y mujeres de las fuerzas de seguridad y armadas
Positivo,Son nuestros heroes los mejores que Dios y el Universo los bendiga
Negativo,Usted sabe más que nosotros
